raspberry (raspbian9.13)
========================
Total: 475 (High:73 Medium:290 Low:49 ?:63), 3/475 Fixed, 574 installed, 6 exploits, 0 modules, en: 12, ja: 4 alerts

+---------------------+------+--------+-----+---------------+---------+---------------------------------------------------+
|       CVE-ID        | CVSS | ATTACK | POC |     CERT      |  FIXED  |                        NVD                        |
| CVE-2019-19816      |  9.3 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19816   |
| CVE-2019-2201       |  9.3 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-2201    |
| CVE-2017-6519       |  9.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-6519    |
| CVE-2019-19391      |  9.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-19391   |
| CVE-2017-17522      |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17522   |
| CVE-2017-5130       |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5130    |
| CVE-2018-1000021    |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000021 |
| CVE-2018-1000858    |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000858 |
| CVE-2018-14550      |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14550   |
| CVE-2019-1010023    |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-1010023 |
| CVE-2019-17594      |  8.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17594   |
| CVE-2019-6129       |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-6129    |
| CVE-2019-8905       |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-8905    |
| CVE-2019-8907       |  8.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-8907    |
| CVE-2018-1000030    |  8.1 |  AV:N  | POC |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000030 |
| CVE-2019-13115      |  8.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13115   |
| CVE-2019-13627      |  8.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13627   |
| CVE-2019-17498      |  8.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17498   |
| CVE-2019-17543      |  8.1 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-17543   |
| CVE-2013-7445       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-7445    |
| CVE-2016-2568       |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2568    |
| CVE-2016-2779       |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-2779    |
| CVE-2016-9318       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2016-9318    |
| CVE-2017-11164      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-11164   |
| CVE-2017-12448      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12448   |
| CVE-2017-12449      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12449   |
| CVE-2017-12450      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12450   |
| CVE-2017-12451      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12451   |
| CVE-2017-12452      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12452   |
| CVE-2017-12453      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12453   |
| CVE-2017-12454      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12454   |
| CVE-2017-12455      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12455   |
| CVE-2017-12456      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12456   |
| CVE-2017-12457      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12457   |
| CVE-2017-12458      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12458   |
| CVE-2017-12459      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12459   |
| CVE-2017-12799      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-12799   |
| CVE-2017-14333      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-14333   |
| CVE-2017-14729      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-14729   |
| CVE-2017-14745      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-14745   |
| CVE-2017-15020      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15020   |
| CVE-2017-15131      |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15131   |
| CVE-2017-15996      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-15996   |
| CVE-2017-16826      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16826   |
| CVE-2017-16827      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16827   |
| CVE-2017-16828      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16828   |
| CVE-2017-16829      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16829   |
| CVE-2017-16830      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16830   |
| CVE-2017-16831      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16831   |
| CVE-2017-16832      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-16832   |
| CVE-2017-17121      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17121   |
| CVE-2017-17122      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17122   |
| CVE-2017-17124      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17124   |
| CVE-2017-17125      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17125   |
| CVE-2017-17126      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-17126   |
| CVE-2017-18078      |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-18078   |
| CVE-2017-7245       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7245    |
| CVE-2017-7246       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-7246    |
| CVE-2017-9042       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9042    |
| CVE-2017-9043       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9043    |
| CVE-2017-9742       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9742    |
| CVE-2017-9743       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9743    |
| CVE-2017-9744       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9744    |
| CVE-2017-9745       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9745    |
| CVE-2017-9746       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9746    |
| CVE-2017-9747       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9747    |
| CVE-2017-9748       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9748    |
| CVE-2017-9749       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9749    |
| CVE-2017-9750       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9750    |
| CVE-2017-9751       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9751    |
| CVE-2017-9752       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9752    |
| CVE-2017-9753       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9753    |
| CVE-2017-9754       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9754    |
| CVE-2017-9755       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9755    |
| CVE-2017-9756       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9756    |
| CVE-2017-9986       |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2017-9986    |
| CVE-2018-1000001    |  7.8 |  AV:L  | POC |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000001 |
| CVE-2018-1000876    |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000876 |
| CVE-2018-12930      |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12930   |
| CVE-2018-12931      |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12931   |
| CVE-2018-18483      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-18483   |
| CVE-2018-19931      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-19931   |
| CVE-2018-20669      |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20669   |
| CVE-2018-5740       |  7.8 |  AV:N  | POC | JPCERT        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5740    |
| CVE-2018-6323       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6323    |
| CVE-2018-6543       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6543    |
| CVE-2018-6954       |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6954    |
| CVE-2018-7208       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7208    |
| CVE-2018-7643       |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7643    |
| CVE-2018-7738       |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-7738    |
| CVE-2019-0145       |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-0145    |
| CVE-2019-1010180    |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-1010180 |
| CVE-2019-12456      |  7.8 |  AV:L  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12456   |
| CVE-2019-12615      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12615   |
| CVE-2019-16229      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-16229   |
| CVE-2019-16230      |  7.8 |  AV:N  |     |               | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-16230   |
